__none___f1_score,__none___precision,__none___recall,__none___support,accuracy,age_f1_score,age_precision,age_recall,age_support,case_status_f1_score,case_status_precision,case_status_recall,case_status_support,contact_setting_f1_score,contact_setting_precision,contact_setting_recall,contact_setting_support,date_f1_score,date_precision,date_recall,date_support,gender_f1_score,gender_precision,gender_recall,gender_support,id_f1_score,id_precision,id_recall,id_support,inference_time,location_f1_score,location_precision,location_recall,location_support,macro avg_f1_score,macro avg_precision,macro avg_recall,macro avg_support,medical_boolean_f1_score,medical_boolean_precision,medical_boolean_recall,medical_boolean_support,occupation_f1_score,occupation_precision,occupation_recall,occupation_support,outcome_f1_score,outcome_precision,outcome_recall,outcome_support,pathogen_f1_score,pathogen_precision,pathogen_recall,pathogen_support,run_name,source_f1_score,source_precision,source_recall,source_support,symptoms_f1_score,symptoms_precision,symptoms_recall,symptoms_support,total_entries,weighted avg_f1_score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-1,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-2,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-3,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-4,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-5,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-6,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-7,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-8,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-9,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
0.0000,0.0000,0.0000,0,0.6881,0.5714,0.4000,1.0000,4,0.7500,1.0000,0.6000,5,0.6667,1.0000,0.5000,2,0.9796,1.0000,0.9600,25,1.0000,1.0000,1.0000,4,0.8235,0.8750,0.7778,9,0.01s,0.0000,0.0000,0.0000,12,0.4267,0.4796,0.4188,109,0.8493,0.9394,0.7750,40,0.0000,0.0000,0.0000,2,0.3333,0.5000,0.2500,4,0.0000,0.0000,0.0000,0,rule-based-regex-run-10,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,2,109,0.7209,0.7803,0.6881,109
