age_precision,age_recall,age_f1-score,age_support,case_status_precision,case_status_recall,case_status_f1-score,case_status_support,contact_setting_precision,contact_setting_recall,contact_setting_f1-score,contact_setting_support,date_precision,date_recall,date_f1-score,date_support,gender_precision,gender_recall,gender_f1-score,gender_support,id_precision,id_recall,id_f1-score,id_support,location_precision,location_recall,location_f1-score,location_support,medical_boolean_precision,medical_boolean_recall,medical_boolean_f1-score,medical_boolean_support,occupation_precision,occupation_recall,occupation_f1-score,occupation_support,outcome_precision,outcome_recall,outcome_f1-score,outcome_support,symptoms_precision,symptoms_recall,symptoms_f1-score,symptoms_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,total_entries,run_name,inference_time
1.0000,0.5000,0.6667,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,0.4444,1.0000,0.6154,4.0000,0.7273,0.8889,0.8000,9.0000,0.7500,1.0000,0.8571,12.0000,0.8378,0.7750,0.8052,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,0.6667,1.0000,0.8000,2.0000,0.8073,0.7171,0.6922,0.6555,109.0000,0.8138,0.8073,0.7886,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run1-zero-shot,29.1288
1.0000,0.7500,0.8571,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,0.5714,1.0000,0.7273,4.0000,0.4444,0.8889,0.5926,9.0000,0.8462,0.9167,0.8800,12.0000,0.7838,0.7250,0.7532,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7706,0.6916,0.6391,0.6234,109.0000,0.7691,0.7706,0.7505,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run2-zero-shot,29.6696
1.0000,0.5000,0.6667,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.8929,1.0000,0.9434,25.0000,1.0000,1.0000,1.0000,4.0000,0.3478,0.8889,0.5000,9.0000,0.9091,0.8333,0.8696,12.0000,0.7812,0.6250,0.6944,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,0.6667,1.0000,0.8000,2.0000,0.7248,0.6452,0.6452,0.6189,109.0000,0.7426,0.7248,0.7147,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run3-zero-shot,29.4193
1.0000,0.2500,0.4000,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.8929,1.0000,0.9434,25.0000,0.6667,1.0000,0.8000,4.0000,0.4211,0.8889,0.5714,9.0000,0.8462,0.9167,0.8800,12.0000,0.8056,0.7250,0.7632,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7615,0.7393,0.6119,0.6100,109.0000,0.7858,0.7615,0.7429,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run4-zero-shot,29.8812
1.0000,0.2500,0.4000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.8929,1.0000,0.9434,25.0000,1.0000,1.0000,1.0000,4.0000,0.3750,1.0000,0.5455,9.0000,0.8462,0.9167,0.8800,12.0000,0.7941,0.6750,0.7297,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7431,0.7189,0.5992,0.5968,109.0000,0.7671,0.7431,0.7227,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run5-zero-shot,29.4601
0.7500,0.7500,0.7500,4.0000,0.5000,0.2000,0.2857,5.0000,0.0000,0.0000,0.0000,2.0000,0.9259,1.0000,0.9615,25.0000,0.5000,1.0000,0.6667,4.0000,0.5000,0.8889,0.6400,9.0000,0.9091,0.8333,0.8696,12.0000,0.7838,0.7250,0.7532,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7706,0.7153,0.6497,0.6358,109.0000,0.7836,0.7706,0.7559,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run6-zero-shot,30.0387
1.0000,0.2500,0.4000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.8929,1.0000,0.9434,25.0000,0.6667,1.0000,0.8000,4.0000,0.4286,1.0000,0.6000,9.0000,0.8571,1.0000,0.9231,12.0000,0.8529,0.7250,0.7838,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7706,0.6998,0.6114,0.5924,109.0000,0.7821,0.7706,0.7445,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run7-zero-shot,29.7193
0.7500,0.7500,0.7500,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.9615,1.0000,0.9804,25.0000,1.0000,1.0000,1.0000,4.0000,0.3333,0.8889,0.4848,9.0000,0.8000,0.6667,0.7273,12.0000,0.7778,0.7000,0.7368,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,0.5000,0.6667,2.0000,0.7339,0.6930,0.6141,0.6133,109.0000,0.7592,0.7339,0.7248,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run8-zero-shot,30.5880
1.0000,0.2500,0.4000,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.7812,1.0000,0.8772,25.0000,0.5714,1.0000,0.7273,4.0000,0.4500,1.0000,0.6207,9.0000,0.9091,0.8333,0.8696,12.0000,0.7812,0.6250,0.6944,40.0000,1.0000,1.0000,1.0000,2.0000,0.5000,0.2500,0.3333,4.0000,1.0000,0.5000,0.6667,2.0000,0.7156,0.6357,0.5871,0.5627,109.0000,0.7158,0.7156,0.6872,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run9-zero-shot,28.7790
0.7500,0.7500,0.7500,4.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,2.0000,0.9259,1.0000,0.9615,25.0000,0.5714,1.0000,0.7273,4.0000,0.5000,1.0000,0.6667,9.0000,0.9091,0.8333,0.8696,12.0000,0.8056,0.7250,0.7632,40.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.2500,0.4000,4.0000,1.0000,1.0000,1.0000,2.0000,0.7798,0.6784,0.6871,0.6489,109.0000,0.7712,0.7798,0.7570,109.0000,109,custom-data-flan-t5-xxl-flan-t5-xxl_run10-zero-shot,29.4926
